epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.994,0.80496,0.51157,1.03109,0.87364,0.78007,0.8628,0.62922,0.87735,0.69203,0.84681,0.0860539,4.19643e-05,4.19643e-05
2,450.454,0.78493,0.49404,1.02174,0.84716,0.79625,0.86581,0.62204,0.87174,4.41721,0.83934,0.0718088,8.25595e-05,8.25595e-05
3,501.342,0.76613,0.47763,1.01428,0.88098,0.80718,0.88069,0.6385,0.88527,1.51488,0.8498,0.0575613,0.000120869,0.000120869
4,556.562,0.7423,0.45541,1.00472,0.87091,0.82394,0.8842,0.64424,0.86746,1.70214,0.85075,0.0433117,0.000156893,0.000156893
5,611.273,0.72502,0.44485,0.99647,0.87294,0.83223,0.88726,0.64635,0.84606,1.55226,0.84399,0.0290597,0.000190631,0.000190631
6,665.945,inf,0.46929,1.01407,0.88031,0.83,0.89121,0.65023,0.83059,2.06145,0.82519,0.0148054,0.000222083,0.000222083
7,720.256,0.75555,0.46173,1.00904,0.88347,0.83115,0.89349,0.65731,0.8255,1.42053,0.82083,0.000548869,0.00025125,0.00025125
8,774.473,0.74473,0.45443,1.00852,0.88118,0.83332,0.89347,0.65791,0.82431,1.44704,0.82076,0.000244,0.000244,0.000244
9,828.7,0.74691,0.45743,1.00494,0.88211,0.83289,0.89217,0.65665,0.82678,1.53385,0.82323,0.000236,0.000236,0.000236
10,879.462,0.73803,0.45651,1.00685,0.88323,0.83134,0.89282,0.65753,0.82777,1.46595,0.82179,0.000228,0.000228,0.000228
11,930.018,inf,0.4506,1.00329,0.88256,0.83231,0.89378,0.65795,0.8272,1.49089,0.82521,0.00022,0.00022,0.00022
12,984.892,0.73431,0.45143,1.0037,0.88463,0.8299,0.8931,0.65878,0.82348,1.6065,0.82314,0.000212,0.000212,0.000212
13,1039.19,0.73157,0.4459,1.00341,0.88126,0.8325,0.89228,0.65699,0.83053,1.46855,0.82659,0.000204,0.000204,0.000204
14,1089.9,0.73523,0.44805,1.00284,0.87622,0.83735,0.89309,0.6575,0.82433,1.44235,0.82308,0.000196,0.000196,0.000196
15,1140.69,0.72652,0.44076,1.00267,0.87631,0.83727,0.89335,0.65807,0.82682,1.60527,0.82505,0.000188,0.000188,0.000188
16,1191.5,0.72429,0.4418,0.99679,0.8822,0.83194,0.89279,0.65718,0.82433,1.74674,0.82507,0.00018,0.00018,0.00018
17,1242.23,0.7233,0.44199,0.99996,0.87889,0.8363,0.89336,0.65714,0.82468,1.83232,0.82325,0.000172,0.000172,0.000172
18,1292.92,0.71965,0.43797,0.99737,0.87833,0.83739,0.89291,0.65684,0.82759,1.58731,0.82782,0.000164,0.000164,0.000164
19,1343.74,0.71528,0.43776,0.99305,0.87987,0.83688,0.89332,0.65656,0.82778,1.53339,0.82835,0.000156,0.000156,0.000156
20,1394.62,0.71473,0.43291,0.99456,0.87831,0.8378,0.89226,0.65628,0.82967,1.72822,0.82944,0.000148,0.000148,0.000148
21,1445.27,0.74418,0.45514,1.00954,0.87397,0.83951,0.89189,0.65529,0.82463,1.68621,0.82378,0.00014,0.00014,0.00014
22,1496.27,0.74385,0.45658,1.00777,0.8749,0.83952,0.89278,0.65644,0.82553,1.72517,0.82478,0.000132,0.000132,0.000132
23,1547.14,0.74567,0.45571,1.00685,0.87884,0.83919,0.89319,0.65662,0.82441,1.70002,0.82485,0.000124,0.000124,0.000124
24,1597.98,0.74187,0.45115,1.00925,0.87885,0.83728,0.8929,0.65537,0.8259,1.73116,0.8246,0.000116,0.000116,0.000116
25,1649,0.73808,0.45365,1.00558,0.87816,0.83967,0.89344,0.65556,0.82213,1.81411,0.82332,0.000108,0.000108,0.000108
26,1714.51,0.7772,0.42675,0.99394,0.87173,0.83636,0.88938,0.65307,0.82862,1.718,0.82725,0.0001,0.0001,0.0001
27,1765.2,0.7507,0.40181,0.979,0.87493,0.83483,0.88984,0.65053,0.83491,2.21588,0.83121,9.2e-05,9.2e-05,9.2e-05
